ticker,company_name,sector,year,wayback_original_url,rule_theme_categories,rule_changed_from_prior,rule_text_similarity_to_prior,llm_theme_categories,llm_changed_from_prior,llm_change_reason,llm_main_values_summary,llm_linguistic_shift,llm_confidence,llm_notes,llm_status,llm_error,llm_raw_response
AAPL,Apple,Technology,2016,http://www.apple.com/diversity/,innovation;customer_focus;employees_culture;diversity_inclusion;community_social_impact,,,innovation;customer_focus;employees_culture;diversity_inclusion;community_social_impact,,"No prior usable-year comparison is available, so material change cannot be assessed for this row.","The page mainly emphasizes innovation, technology, or business transformation, customers, clients, users, or service experience, and employees, teams, talent, or organizational culture. The language frames the company around technological capability and stakeholder-facing impact.","No prior usable year is available in this LLM prompt, so a year-over-year linguistic shift cannot be assessed directly.",high,"The prompt text was truncated, so later-page content may be omitted.",success,,"{""llm_theme_categories"": [""innovation"", ""customer_focus"", ""employees_culture"", ""diversity_inclusion"", ""community_social_impact""], ""llm_changed_from_prior"": null, ""llm_change_reason"": ""No prior usable-year comparison is available, so material change cannot be assessed for this row."", ""llm_main_values_summary"": ""The page mainly emphasizes innovation, technology, or business transformation, customers, clients, users, or service experience, and employees, teams, talent, or organizational culture. The language frames the company around technological capability and stakeholder-facing impact."", ""llm_linguistic_shift"": ""No prior usable year is available in this LLM prompt, so a year-over-year linguistic shift cannot be assessed directly."", ""llm_confidence"": ""high"", ""llm_notes"": ""The prompt text was truncated, so later-page content may be omitted.""}"
AAPL,Apple,Technology,2017,https://www.apple.com/diversity/,innovation;customer_focus;employees_culture;diversity_inclusion;community_social_impact;integrity_ethics_trust;health_safety_wellbeing;financial_performance_growth,True,0.0752053928797135,innovation;diversity_inclusion;employees_culture;customer_focus;health_safety_wellbeing;sustainability_environment,True,"The page content has been significantly updated, shifting to a narrative style that highlights individual employee stories to demonstrate diversity and innovation, as indicated by the very low text similarity to the prior year.","Apple emphasizes that its innovation is directly fueled by a diverse workforce and varied perspectives. The page showcases individual employees and their contributions to groundbreaking products and features that enhance user experience, improve health, promote accessibility, and contribute to environmental responsibility.","The page employs a strong narrative and storytelling approach, featuring detailed profiles of individual employees to illustrate corporate values.",high,,success,,"{
  ""llm_theme_categories"": [
    ""innovation"",
    ""diversity_inclusion"",
    ""employees_culture"",
    ""customer_focus"",
    ""health_safety_wellbeing"",
    ""sustainability_environment""
  ],
  ""llm_changed_from_prior"": true,
  ""llm_change_reason"": ""The page content has been significantly updated, shifting to a narrative style that highlights individual employee stories to demonstrate diversity and innovation, as indicated by the very low text similarity to the prior year."",
  ""llm_main_values_summary"": ""Apple emphasizes that its innovation is directly fueled by a diverse workforce and varied perspectives. The page showcases individual employees and their contributions to groundbreaking products and features that enhance user experience, improve health, promote accessibility, and contribute to environmental responsibility."",
  ""llm_linguistic_shift"": ""The page employs a strong narrative and storytelling approach, featuring detailed profiles of individual employees to illustrate corporate values."",
  ""llm_confidence"": ""high"",
  ""llm_notes"": """"
}"
AAPL,Apple,Technology,2018,https://www.apple.com/diversity/,innovation;customer_focus;employees_culture;diversity_inclusion;community_social_impact;integrity_ethics_trust;financial_performance_growth,True,0.0533410759467418,diversity_inclusion;employees_culture;integrity_ethics_trust;customer_focus;innovation;community_social_impact,True,"The page is entirely dedicated to detailing Apple's progress and commitment to diversity and inclusion, including specific metrics and initiatives, which suggests a significant update or new focus compared to a general values statement.","Apple strongly emphasizes diversity and inclusion as fundamental to its culture, innovation, and product design. The company highlights its commitment through detailed metrics on representation, pay equity, and support for various underrepresented groups, aiming for a welcoming and equitable environment for all employees and customers.","The language is very direct, data-driven, and action-oriented, focusing on progress, metrics, and specific initiatives related to diversity and inclusion, often using employee quotes.",high,"The provided text is a dedicated 'Inclusion & Diversity' page, not a general corporate values page, which explains its specific focus.",success,,"{
  ""llm_theme_categories"": [
    ""diversity_inclusion"",
    ""employees_culture"",
    ""integrity_ethics_trust"",
    ""customer_focus"",
    ""innovation"",
    ""community_social_impact""
  ],
  ""llm_changed_from_prior"": true,
  ""llm_change_reason"": ""The page is entirely dedicated to detailing Apple's progress and commitment to diversity and inclusion, including specific metrics and initiatives, which suggests a significant update or new focus compared to a general values statement."",
  ""llm_main_values_summary"": ""Apple strongly emphasizes diversity and inclusion as fundamental to its culture, innovation, and product design. The company highlights its commitment through detailed metrics on representation, pay equity, and support for various underrepresented groups, aiming for a welcoming and equitable environment for all employees and customers."",
  ""llm_linguistic_shift"": ""The language is very direct, data-driven, and action-oriented, focusing on progress, metrics, and specific initiatives related to diversity and inclusion, often using employee quotes."",
  ""llm_confidence"": ""high"",
  ""llm_notes"": ""The provided text is a dedicated 'Inclusion & Diversity' page, not a general corporate values page, which explains its specific focus.""
}"
AAPL,Apple,Technology,2019,https://www.apple.com/diversity/,innovation;employees_culture;diversity_inclusion;community_social_impact;financial_performance_growth,True,0.1985885737402795,diversity_inclusion;employees_culture;community_social_impact;innovation,True,"The page content is entirely dedicated to Inclusion & Diversity, presenting detailed statistics and initiatives, which represents a significant thematic shift or a new, dedicated focus compared to a general corporate values statement, supported by the very low text similarity to the prior year.","Apple deeply values diversity and inclusion, viewing it as a fundamental strength for creating products that serve a global audience. The company demonstrates this commitment through initiatives focused on increasing representation of women and underrepresented minorities, ensuring global pay equity, and fostering an inclusive culture for all employees. Additionally, Apple supports community development through educational partnerships aimed at empowering diverse talent.","The page is highly data-driven, presenting numerous statistics and progress metrics related to diversity and inclusion, alongside employee testimonials, indicating a focus on transparent reporting and measurable outcomes in this area.",high,"This page is exclusively focused on Inclusion & Diversity, suggesting other corporate values may be detailed on different sections of Apple's website.",success,,"{
  ""llm_theme_categories"": [
    ""diversity_inclusion"",
    ""employees_culture"",
    ""community_social_impact"",
    ""innovation""
  ],
  ""llm_changed_from_prior"": true,
  ""llm_change_reason"": ""The page content is entirely dedicated to Inclusion & Diversity, presenting detailed statistics and initiatives, which represents a significant thematic shift or a new, dedicated focus compared to a general corporate values statement, supported by the very low text similarity to the prior year."",
  ""llm_main_values_summary"": ""Apple deeply values diversity and inclusion, viewing it as a fundamental strength for creating products that serve a global audience. The company demonstrates this commitment through initiatives focused on increasing representation of women and underrepresented minorities, ensuring global pay equity, and fostering an inclusive culture for all employees. Additionally, Apple supports community development through educational partnerships aimed at empowering diverse talent."",
  ""llm_linguistic_shift"": ""The page is highly data-driven, presenting numerous statistics and progress metrics related to diversity and inclusion, alongside employee testimonials, indicating a focus on transparent reporting and measurable outcomes in this area."",
  ""llm_confidence"": ""high"",
  ""llm_notes"": ""This page is exclusively focused on Inclusion & Diversity, suggesting other corporate values may be detailed on different sections of Apple's website.""
}"
AAPL,Apple,Technology,2020,https://www.apple.com/diversity/,innovation;employees_culture;diversity_inclusion;community_social_impact;financial_performance_growth,False,0.9998256624825662,diversity_inclusion;employees_culture;integrity_ethics_trust;community_social_impact;innovation,False,"The rule-based analysis indicates a very high text similarity (0.9998) to the prior year, suggesting no material change in content.","Apple's core values, as presented on this page, revolve around diversity and inclusion, viewing differences as a source of strength for product creation. The company emphasizes its commitment to an accepting employee culture, ensuring pay equity, and supporting the growth and development of a diverse workforce. Additionally, Apple highlights its community engagement through educational partnerships aimed at fostering a more diverse future.",No clear linguistic shift visible from this snapshot alone,high,The provided text is a truncated snippet of the full page.,success,,"{
  ""llm_theme_categories"": [
    ""diversity_inclusion"",
    ""employees_culture"",
    ""integrity_ethics_trust"",
    ""community_social_impact"",
    ""innovation""
  ],
  ""llm_changed_from_prior"": false,
  ""llm_change_reason"": ""The rule-based analysis indicates a very high text similarity (0.9998) to the prior year, suggesting no material change in content."",
  ""llm_main_values_summary"": ""Apple's core values, as presented on this page, revolve around diversity and inclusion, viewing differences as a source of strength for product creation. The company emphasizes its commitment to an accepting employee culture, ensuring pay equity, and supporting the growth and development of a diverse workforce. Additionally, Apple highlights its community engagement through educational partnerships aimed at fostering a more diverse future."",
  ""llm_linguistic_shift"": ""No clear linguistic shift visible from this snapshot alone"",
  ""llm_confidence"": ""high"",
  ""llm_notes"": ""The provided text is a truncated snippet of the full page.""
}"
AAPL,Apple,Technology,2021,https://www.apple.com/diversity/,innovation;customer_focus;employees_culture;diversity_inclusion;community_social_impact;financial_performance_growth,True,0.0202918995171179,diversity_inclusion;employees_culture;community_social_impact;customer_focus;innovation,True,"The page is entirely dedicated to Inclusion & Diversity, with extensive data and specific initiatives, suggesting a significant shift in focus or a new dedicated page compared to a general values statement. The rule-based text similarity of 0.02 confirms a material change.","Apple's core values, as presented on this page, are overwhelmingly centered on inclusion and diversity, aiming to build a workforce and leadership that reflects global diversity. The company emphasizes concrete actions, progress metrics, and a commitment to fostering an equitable and just environment for all employees, extending its impact to the broader community.",No clear linguistic shift visible from this snapshot alone,high,,success,,"{
  ""llm_theme_categories"": [
    ""diversity_inclusion"",
    ""employees_culture"",
    ""community_social_impact"",
    ""customer_focus"",
    ""innovation""
  ],
  ""llm_changed_from_prior"": true,
  ""llm_change_reason"": ""The page is entirely dedicated to Inclusion & Diversity, with extensive data and specific initiatives, suggesting a significant shift in focus or a new dedicated page compared to a general values statement. The rule-based text similarity of 0.02 confirms a material change."",
  ""llm_main_values_summary"": ""Apple's core values, as presented on this page, are overwhelmingly centered on inclusion and diversity, aiming to build a workforce and leadership that reflects global diversity. The company emphasizes concrete actions, progress metrics, and a commitment to fostering an equitable and just environment for all employees, extending its impact to the broader community."",
  ""llm_linguistic_shift"": ""No clear linguistic shift visible from this snapshot alone"",
  ""llm_confidence"": ""high"",
  ""llm_notes"": """"
}"
AAPL,Apple,Technology,2022,https://www.apple.com/diversity/,innovation;employees_culture;diversity_inclusion;community_social_impact;integrity_ethics_trust,True,0.305770135017129,diversity_inclusion;employees_culture;innovation;community_social_impact;integrity_ethics_trust,True,"The page presents extensive, detailed statistics and progress reports on diversity and inclusion metrics, including specific percentages for representation and leadership roles. This highly data-driven approach and focus on measurable outcomes suggests a material update or shift in content from a prior year, supported by the low text similarity score.","Apple's core values, as presented on this page, center on fostering a deeply inclusive and diverse culture, believing it is fundamental to sparking innovation and driving positive global change. The company emphasizes its commitment to increasing representation for women and underrepresented communities across all levels and roles. This commitment is demonstrated through detailed statistical reporting of progress and initiatives like pay equity and accessible product design.","The page heavily relies on quantitative data, percentages, and progress reports to convey its commitment to diversity and inclusion, emphasizing accountability and measurable outcomes.",high,"This page is exclusively dedicated to Inclusion & Diversity, providing a focused view of values within this specific domain rather than a broad corporate values statement.",success,,"{
  ""llm_theme_categories"": [
    ""diversity_inclusion"",
    ""employees_culture"",
    ""innovation"",
    ""community_social_impact"",
    ""integrity_ethics_trust""
  ],
  ""llm_changed_from_prior"": true,
  ""llm_change_reason"": ""The page presents extensive, detailed statistics and progress reports on diversity and inclusion metrics, including specific percentages for representation and leadership roles. This highly data-driven approach and focus on measurable outcomes suggests a material update or shift in content from a prior year, supported by the low text similarity score."",
  ""llm_main_values_summary"": ""Apple's core values, as presented on this page, center on fostering a deeply inclusive and diverse culture, believing it is fundamental to sparking innovation and driving positive global change. The company emphasizes its commitment to increasing representation for women and underrepresented communities across all levels and roles. This commitment is demonstrated through detailed statistical reporting of progress and initiatives like pay equity and accessible product design."",
  ""llm_linguistic_shift"": ""The page heavily relies on quantitative data, percentages, and progress reports to convey its commitment to diversity and inclusion, emphasizing accountability and measurable outcomes."",
  ""llm_confidence"": ""high"",
  ""llm_notes"": ""This page is exclusively dedicated to Inclusion & Diversity, providing a focused view of values within this specific domain rather than a broad corporate values statement.""
}"
AAPL,Apple,Technology,2023,https://www.apple.com/diversity/,innovation;employees_culture;diversity_inclusion;community_social_impact;integrity_ethics_trust,False,1.0,diversity_inclusion;employees_culture;community_social_impact;innovation;integrity_ethics_trust;customer_focus,False,"The rule-based analysis indicates no material change from the prior usable year, with a text similarity of 1.0.","The page primarily emphasizes diversity and inclusion as fundamental to Apple's culture, innovation, and global impact. It details the company's commitment and progress in building an inclusive workforce, ensuring pay equity, and fostering a sense of belonging for all employees and customers.",No clear linguistic shift visible from this snapshot alone,high,"The provided text is a dedicated 'Inclusion & Diversity' page, which focuses specifically on these aspects rather than a broader set of corporate values.",success,,"{
  ""llm_theme_categories"": [
    ""diversity_inclusion"",
    ""employees_culture"",
    ""community_social_impact"",
    ""innovation"",
    ""integrity_ethics_trust"",
    ""customer_focus""
  ],
  ""llm_changed_from_prior"": false,
  ""llm_change_reason"": ""The rule-based analysis indicates no material change from the prior usable year, with a text similarity of 1.0."",
  ""llm_main_values_summary"": ""The page primarily emphasizes diversity and inclusion as fundamental to Apple's culture, innovation, and global impact. It details the company's commitment and progress in building an inclusive workforce, ensuring pay equity, and fostering a sense of belonging for all employees and customers."",
  ""llm_linguistic_shift"": ""No clear linguistic shift visible from this snapshot alone"",
  ""llm_confidence"": ""high"",
  ""llm_notes"": ""The provided text is a dedicated 'Inclusion & Diversity' page, which focuses specifically on these aspects rather than a broader set of corporate values.""
}"
AAPL,Apple,Technology,2024,https://www.apple.com/diversity/,innovation;customer_focus;employees_culture;diversity_inclusion;sustainability_environment;community_social_impact;integrity_ethics_trust;financial_performance_growth,True,0.3517697507086271,diversity_inclusion;employees_culture;community_social_impact;customer_focus;integrity_ethics_trust;sustainability_environment,True,"The rule-based text similarity score of 0.35 indicates a significant material change in the page's content from the prior usable year. The current page is entirely dedicated to Inclusion & Diversity, presenting detailed data and initiatives.","The page primarily emphasizes diversity, inclusion, equity, and representation across its workforce and products, supported by data and specific initiatives. It also highlights commitments to community engagement, customer accessibility and privacy, ethical supply chain practices, and environmental sustainability.",No clear linguistic shift visible from this snapshot alone,high,"This page is specifically focused on Inclusion & Diversity, which may limit the breadth of corporate values presented compared to a general 'About Us' page.",success,,"{
  ""llm_theme_categories"": [
    ""diversity_inclusion"",
    ""employees_culture"",
    ""community_social_impact"",
    ""customer_focus"",
    ""integrity_ethics_trust"",
    ""sustainability_environment""
  ],
  ""llm_changed_from_prior"": true,
  ""llm_change_reason"": ""The rule-based text similarity score of 0.35 indicates a significant material change in the page's content from the prior usable year. The current page is entirely dedicated to Inclusion & Diversity, presenting detailed data and initiatives."",
  ""llm_main_values_summary"": ""The page primarily emphasizes diversity, inclusion, equity, and representation across its workforce and products, supported by data and specific initiatives. It also highlights commitments to community engagement, customer accessibility and privacy, ethical supply chain practices, and environmental sustainability."",
  ""llm_linguistic_shift"": ""No clear linguistic shift visible from this snapshot alone"",
  ""llm_confidence"": ""high"",
  ""llm_notes"": ""This page is specifically focused on Inclusion & Diversity, which may limit the breadth of corporate values presented compared to a general 'About Us' page.""
}"
ABBV,AbbVie,Healthcare,2016,http://www.abbvie.com:80/about-us/who-we-are.html,innovation;employees_culture;community_social_impact;integrity_ethics_trust;health_safety_wellbeing;financial_performance_growth,,,innovation;employees_culture;community_social_impact;integrity_ethics_trust;health_safety_wellbeing;financial_performance_growth,,"No prior usable-year comparison is available, so material change cannot be assessed for this row.","The page mainly emphasizes innovation, technology, or business transformation, employees, teams, talent, or organizational culture, and community, philanthropy, social impact, or public contribution. The language emphasizes care, quality, innovation, and responsibility toward patients or broader health outcomes.","No prior usable year is available in this LLM prompt, so a year-over-year linguistic shift cannot be assessed directly.",high,Interpretation is based on the cleaned archived page text provided in the prompt.,success,,"{""llm_theme_categories"": [""innovation"", ""employees_culture"", ""community_social_impact"", ""integrity_ethics_trust"", ""health_safety_wellbeing"", ""financial_performance_growth""], ""llm_changed_from_prior"": null, ""llm_change_reason"": ""No prior usable-year comparison is available, so material change cannot be assessed for this row."", ""llm_main_values_summary"": ""The page mainly emphasizes innovation, technology, or business transformation, employees, teams, talent, or organizational culture, and community, philanthropy, social impact, or public contribution. The language emphasizes care, quality, innovation, and responsibility toward patients or broader health outcomes."", ""llm_linguistic_shift"": ""No prior usable year is available in this LLM prompt, so a year-over-year linguistic shift cannot be assessed directly."", ""llm_confidence"": ""high"", ""llm_notes"": ""Interpretation is based on the cleaned archived page text provided in the prompt.""}"
