ticker,company_name,sector,cik,year,document_type,source,status,notes
MSFT,Microsoft,Technology,789019,2016,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 292011. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
MSFT,Microsoft,Technology,789019,2017,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 341925. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
MSFT,Microsoft,Technology,789019,2018,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 227714. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
MSFT,Microsoft,Technology,789019,2019,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 248785. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
MSFT,Microsoft,Technology,789019,2020,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 266479. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
MSFT,Microsoft,Technology,789019,2021,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 353635. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
MSFT,Microsoft,Technology,789019,2022,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 314638. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
MSFT,Microsoft,Technology,789019,2023,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 344004. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
MSFT,Microsoft,Technology,789019,2024,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 346024. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
AAPL,Apple,Technology,320193,2016,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 293179. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
