ticker,company_name,sector,year,source_url_seed,wayback_timestamp,wayback_original_url,stated_text_len,stated_has_text,stated_theme_categories,stated_theme_counts_json,changed_from_prior,text_similarity_to_prior,selection_method,selected_page_type,selected_page_score,stated_needs_review,stated_tone_positive,stated_tone_negative,stated_tone_net,stated_analyst_notes,document_type,source,filing_date,accession_number,document_url,lived_text_len,lived_has_text,lived_theme_categories,lived_theme_counts_json,lived_theme_counts_per_10k_json,lived_tone_positive,lived_tone_negative,lived_tone_net,lived_analyst_notes,both_texts_available,theme_overlap_jaccard,theme_emphasis_cosine,tone_alignment,authenticity_index,authenticity_label,gap_type,component_gap_driver,alignment_gap_size
MSFT,Microsoft,Technology,2016,https://news.microsoft.com/facts-about-microsoft/,20160710162543.0,http://news.microsoft.com:80/facts-about-microsoft/,12518,True,innovation;customer_focus;employees_culture;diversity_inclusion;community_social_impact;financial_performance_growth,"{""innovation"": 22, ""customer_focus"": 2, ""employees_culture"": 5, ""diversity_inclusion"": 3, ""sustainability_environment"": 0, ""community_social_impact"": 1, ""integrity_ethics_trust"": 0, ""health_safety_wellbeing"": 0, ""financial_performance_growth"": 5}",,,exact_seed_or_backup,about_company_page,58.0,False,7,0,1.0,"Selected usable candidate. Tried 1 candidate(s). downloaded No reliable prior-year comparison. Clean text length: 12518. URL score: 58. Page type: about_company_page. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, community_social_impact, financial_performance_growth.",DEF 14A proxy statement,SEC EDGAR,2016-10-18,0001193125-16-740758,https://www.sec.gov/Archives/edgar/data/789019/000119312516740758/d243670ddef14a.htm,292011,True,innovation;customer_focus;employees_culture;diversity_inclusion;sustainability_environment;community_social_impact;integrity_ethics_trust;health_safety_wellbeing;financial_performance_growth,"{""innovation"": 80, ""customer_focus"": 77, ""employees_culture"": 131, ""diversity_inclusion"": 81, ""sustainability_environment"": 20, ""community_social_impact"": 18, ""integrity_ethics_trust"": 205, ""health_safety_wellbeing"": 26, ""financial_performance_growth"": 919}","{""innovation"": 2.7396, ""customer_focus"": 2.6369, ""employees_culture"": 4.4861, ""diversity_inclusion"": 2.7739, ""sustainability_environment"": 0.6849, ""community_social_impact"": 0.6164, ""integrity_ethics_trust"": 7.0203, ""health_safety_wellbeing"": 0.8904, ""financial_performance_growth"": 31.4714}",151,62,0.4178,"downloaded on attempt 1. Clean text length: 292011. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth.",True,0.6667,0.33,0.7089,0.5215,moderate_alignment,same_themes_different_emphasis,theme_emphasis_gap,0.47850000000000004
MSFT,Microsoft,Technology,2017,https://news.microsoft.com/facts-about-microsoft/,20170706213033.0,https://news.microsoft.com/facts-about-microsoft/,12912,True,innovation;customer_focus;employees_culture;diversity_inclusion;sustainability_environment;community_social_impact;integrity_ethics_trust;financial_performance_growth,"{""innovation"": 22, ""customer_focus"": 3, ""employees_culture"": 5, ""diversity_inclusion"": 4, ""sustainability_environment"": 2, ""community_social_impact"": 2, ""integrity_ethics_trust"": 1, ""health_safety_wellbeing"": 0, ""financial_performance_growth"": 6}",True,0.7798662996460873,exact_seed_or_backup,about_company_page,58.0,False,8,0,1.0,"Selected usable candidate. Tried 1 candidate(s). downloaded Changed from prior usable year; similarity=0.780. Clean text length: 12912. URL score: 58. Page type: about_company_page. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, financial_performance_growth.",DEF 14A proxy statement,SEC EDGAR,2017-10-16,0001193125-17-310951,https://www.sec.gov/Archives/edgar/data/789019/000119312517310951/d461626ddef14a.htm,341925,True,innovation;customer_focus;employees_culture;diversity_inclusion;sustainability_environment;community_social_impact;integrity_ethics_trust;health_safety_wellbeing;financial_performance_growth,"{""innovation"": 66, ""customer_focus"": 91, ""employees_culture"": 199, ""diversity_inclusion"": 105, ""sustainability_environment"": 25, ""community_social_impact"": 11, ""integrity_ethics_trust"": 180, ""health_safety_wellbeing"": 27, ""financial_performance_growth"": 1067}","{""innovation"": 1.9302, ""customer_focus"": 2.6614, ""employees_culture"": 5.82, ""diversity_inclusion"": 3.0708, ""sustainability_environment"": 0.7312, ""community_social_impact"": 0.3217, ""integrity_ethics_trust"": 5.2643, ""health_safety_wellbeing"": 0.7896, ""financial_performance_growth"": 31.2057}",165,73,0.3866,"downloaded on attempt 1. Clean text length: 341925. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth.",True,0.8889,0.3662,0.6933,0.6243,moderate_alignment,same_themes_different_emphasis,theme_emphasis_gap,0.37570000000000003
MSFT,Microsoft,Technology,2018,https://news.microsoft.com/facts-about-microsoft/,20180711121618.0,https://news.microsoft.com/facts-about-microsoft/,6395,True,innovation;customer_focus;employees_culture;sustainability_environment;community_social_impact;health_safety_wellbeing,"{""innovation"": 5, ""customer_focus"": 2, ""employees_culture"": 1, ""diversity_inclusion"": 0, ""sustainability_environment"": 1, ""community_social_impact"": 1, ""integrity_ethics_trust"": 0, ""health_safety_wellbeing"": 1, ""financial_performance_growth"": 0}",True,0.5436370228414564,exact_seed_or_backup,about_company_page,58.0,False,4,0,1.0,"Selected usable candidate. Tried 1 candidate(s). downloaded Changed from prior usable year; similarity=0.544. Clean text length: 6395. URL score: 58. Page type: about_company_page. Themes: innovation, customer_focus, employees_culture, sustainability_environment, community_social_impact, health_safety_wellbeing.",DEF 14A proxy statement,SEC EDGAR,2018-10-16,0001193125-18-300115,https://www.sec.gov/Archives/edgar/data/789019/000119312518300115/d588721ddef14a.htm,227714,True,innovation;customer_focus;employees_culture;diversity_inclusion;sustainability_environment;community_social_impact;integrity_ethics_trust;health_safety_wellbeing;financial_performance_growth,"{""innovation"": 79, ""customer_focus"": 86, ""employees_culture"": 134, ""diversity_inclusion"": 91, ""sustainability_environment"": 31, ""community_social_impact"": 13, ""integrity_ethics_trust"": 188, ""health_safety_wellbeing"": 24, ""financial_performance_growth"": 778}","{""innovation"": 3.4693, ""customer_focus"": 3.7767, ""employees_culture"": 5.8846, ""diversity_inclusion"": 3.9962, ""sustainability_environment"": 1.3614, ""community_social_impact"": 0.5709, ""integrity_ethics_trust"": 8.256, ""health_safety_wellbeing"": 1.054, ""financial_performance_growth"": 34.1657}",135,85,0.2273,"downloaded on attempt 1. Clean text length: 227714. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth.",True,0.6667,0.1621,0.6137,0.4316,low_alignment,same_themes_different_emphasis,theme_emphasis_gap,0.5684
MSFT,Microsoft,Technology,2019,https://news.microsoft.com/facts-about-microsoft/,20190719045116.0,https://news.microsoft.com/facts-about-microsoft/,6669,True,innovation;customer_focus;employees_culture;sustainability_environment;community_social_impact;health_safety_wellbeing;financial_performance_growth,"{""innovation"": 6, ""customer_focus"": 2, ""employees_culture"": 1, ""diversity_inclusion"": 0, ""sustainability_environment"": 1, ""community_social_impact"": 1, ""integrity_ethics_trust"": 0, ""health_safety_wellbeing"": 1, ""financial_performance_growth"": 1}",False,0.9286589099816288,exact_seed_or_backup,about_company_page,58.0,False,5,0,1.0,"Selected usable candidate. Tried 1 candidate(s). downloaded Similar to prior usable year; similarity=0.929. Clean text length: 6669. URL score: 58. Page type: about_company_page. Themes: innovation, customer_focus, employees_culture, sustainability_environment, community_social_impact, health_safety_wellbeing, financial_performance_growth.",DEF 14A proxy statement,SEC EDGAR,2019-10-16,0001193125-19-268531,https://www.sec.gov/Archives/edgar/data/789019/000119312519268531/d791036ddef14a.htm,248785,True,innovation;customer_focus;employees_culture;diversity_inclusion;sustainability_environment;community_social_impact;integrity_ethics_trust;health_safety_wellbeing;financial_performance_growth,"{""innovation"": 67, ""customer_focus"": 87, ""employees_culture"": 205, ""diversity_inclusion"": 134, ""sustainability_environment"": 33, ""community_social_impact"": 19, ""integrity_ethics_trust"": 234, ""health_safety_wellbeing"": 28, ""financial_performance_growth"": 829}","{""innovation"": 2.6931, ""customer_focus"": 3.497, ""employees_culture"": 8.24, ""diversity_inclusion"": 5.3862, ""sustainability_environment"": 1.3264, ""community_social_impact"": 0.7637, ""integrity_ethics_trust"": 9.4057, ""health_safety_wellbeing"": 1.1255, ""financial_performance_growth"": 33.3219}",179,70,0.4378,"downloaded on attempt 1. Clean text length: 248785. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth.",True,0.7778,0.2788,0.7189,0.5444,moderate_alignment,same_themes_different_emphasis,theme_emphasis_gap,0.4556
MSFT,Microsoft,Technology,2020,https://news.microsoft.com/facts-about-microsoft/,20200719074952.0,https://news.microsoft.com/facts-about-microsoft/,7175,True,innovation;customer_focus;employees_culture;sustainability_environment;community_social_impact;health_safety_wellbeing;financial_performance_growth,"{""innovation"": 6, ""customer_focus"": 2, ""employees_culture"": 1, ""diversity_inclusion"": 0, ""sustainability_environment"": 2, ""community_social_impact"": 2, ""integrity_ethics_trust"": 0, ""health_safety_wellbeing"": 1, ""financial_performance_growth"": 1}",False,0.958826928633343,exact_seed_or_backup,about_company_page,58.0,False,6,0,1.0,"Selected usable candidate. Tried 1 candidate(s). downloaded Similar to prior usable year; similarity=0.959. Clean text length: 7175. URL score: 58. Page type: about_company_page. Themes: innovation, customer_focus, employees_culture, sustainability_environment, community_social_impact, health_safety_wellbeing, financial_performance_growth.",DEF 14A proxy statement,SEC EDGAR,2020-10-19,0001193125-20-272025,https://www.sec.gov/Archives/edgar/data/789019/000119312520272025/d31295ddef14a.htm,266479,True,innovation;customer_focus;employees_culture;diversity_inclusion;sustainability_environment;community_social_impact;integrity_ethics_trust;health_safety_wellbeing;financial_performance_growth,"{""innovation"": 114, ""customer_focus"": 90, ""employees_culture"": 205, ""diversity_inclusion"": 98, ""sustainability_environment"": 68, ""community_social_impact"": 28, ""integrity_ethics_trust"": 241, ""health_safety_wellbeing"": 43, ""financial_performance_growth"": 948}","{""innovation"": 4.278, ""customer_focus"": 3.3774, ""employees_culture"": 7.6929, ""diversity_inclusion"": 3.6776, ""sustainability_environment"": 2.5518, ""community_social_impact"": 1.0507, ""integrity_ethics_trust"": 9.0439, ""health_safety_wellbeing"": 1.6136, ""financial_performance_growth"": 35.575}",178,84,0.3588,"downloaded on attempt 1. Clean text length: 266479. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth.",True,0.7778,0.3097,0.6794,0.5524,moderate_alignment,same_themes_different_emphasis,theme_emphasis_gap,0.4476
MSFT,Microsoft,Technology,2021,https://news.microsoft.com/facts-about-microsoft/,20210704045647.0,https://news.microsoft.com/facts-about-microsoft/,8047,True,innovation;customer_focus;employees_culture;sustainability_environment;community_social_impact;health_safety_wellbeing;financial_performance_growth,"{""innovation"": 9, ""customer_focus"": 3, ""employees_culture"": 3, ""diversity_inclusion"": 0, ""sustainability_environment"": 2, ""community_social_impact"": 2, ""integrity_ethics_trust"": 0, ""health_safety_wellbeing"": 1, ""financial_performance_growth"": 1}",False,0.9427144921823676,exact_seed_or_backup,about_company_page,58.0,False,6,0,1.0,"Selected usable candidate. Tried 1 candidate(s). downloaded Similar to prior usable year; similarity=0.943. Clean text length: 8047. URL score: 58. Page type: about_company_page. Themes: innovation, customer_focus, employees_culture, sustainability_environment, community_social_impact, health_safety_wellbeing, financial_performance_growth.",DEF 14A proxy statement,SEC EDGAR,2021-10-14,0001193125-21-298757,https://www.sec.gov/Archives/edgar/data/789019/000119312521298757/d189481ddef14a.htm,353635,True,innovation;customer_focus;employees_culture;diversity_inclusion;sustainability_environment;community_social_impact;integrity_ethics_trust;health_safety_wellbeing;financial_performance_growth,"{""innovation"": 181, ""customer_focus"": 104, ""employees_culture"": 357, ""diversity_inclusion"": 187, ""sustainability_environment"": 90, ""community_social_impact"": 35, ""integrity_ethics_trust"": 277, ""health_safety_wellbeing"": 39, ""financial_performance_growth"": 989}","{""innovation"": 5.1183, ""customer_focus"": 2.9409, ""employees_culture"": 10.0952, ""diversity_inclusion"": 5.2879, ""sustainability_environment"": 2.545, ""community_social_impact"": 0.9897, ""integrity_ethics_trust"": 7.8329, ""health_safety_wellbeing"": 1.1028, ""financial_performance_growth"": 27.9667}",253,110,0.3939,"downloaded on attempt 1. Clean text length: 353635. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth.",True,0.7778,0.3644,0.6969,0.5796,moderate_alignment,same_themes_different_emphasis,theme_emphasis_gap,0.4204
MSFT,Microsoft,Technology,2022,https://news.microsoft.com/facts-about-microsoft/,20220628222421.0,https://news.microsoft.com/facts-about-microsoft/,8342,True,innovation;customer_focus;employees_culture;sustainability_environment;community_social_impact;financial_performance_growth,"{""innovation"": 11, ""customer_focus"": 4, ""employees_culture"": 3, ""diversity_inclusion"": 0, ""sustainability_environment"": 2, ""community_social_impact"": 1, ""integrity_ethics_trust"": 0, ""health_safety_wellbeing"": 0, ""financial_performance_growth"": 1}",False,0.956617243272927,exact_seed_or_backup,about_company_page,58.0,False,6,0,1.0,"Selected usable candidate. Tried 1 candidate(s). downloaded Similar to prior usable year; similarity=0.957. Clean text length: 8342. URL score: 58. Page type: about_company_page. Themes: innovation, customer_focus, employees_culture, sustainability_environment, community_social_impact, financial_performance_growth.",DEF 14A proxy statement,SEC EDGAR,2022-10-27,0001193125-22-270484,https://www.sec.gov/Archives/edgar/data/789019/000119312522270484/d318171ddef14a.htm,314638,True,innovation;customer_focus;employees_culture;diversity_inclusion;sustainability_environment;community_social_impact;integrity_ethics_trust;health_safety_wellbeing;financial_performance_growth,"{""innovation"": 182, ""customer_focus"": 126, ""employees_culture"": 234, ""diversity_inclusion"": 190, ""sustainability_environment"": 171, ""community_social_impact"": 24, ""integrity_ethics_trust"": 275, ""health_safety_wellbeing"": 37, ""financial_performance_growth"": 995}","{""innovation"": 5.7844, ""customer_focus"": 4.0046, ""employees_culture"": 7.4371, ""diversity_inclusion"": 6.0387, ""sustainability_environment"": 5.4348, ""community_social_impact"": 0.7628, ""integrity_ethics_trust"": 8.7402, ""health_safety_wellbeing"": 1.176, ""financial_performance_growth"": 31.6236}",262,119,0.3753,"downloaded on attempt 1. Clean text length: 314638. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth.",True,0.6667,0.3332,0.6876,0.5198,moderate_alignment,same_themes_different_emphasis,theme_emphasis_gap,0.48019999999999996
MSFT,Microsoft,Technology,2023,https://news.microsoft.com/facts-about-microsoft/,20230611024552.0,https://news.microsoft.com/facts-about-microsoft/,8590,True,innovation;customer_focus;employees_culture;sustainability_environment;community_social_impact;financial_performance_growth,"{""innovation"": 13, ""customer_focus"": 4, ""employees_culture"": 3, ""diversity_inclusion"": 0, ""sustainability_environment"": 2, ""community_social_impact"": 1, ""integrity_ethics_trust"": 0, ""health_safety_wellbeing"": 0, ""financial_performance_growth"": 1}",False,0.9730687455705174,exact_seed_or_backup,about_company_page,58.0,False,6,0,1.0,"Selected usable candidate. Tried 3 candidate(s). downloaded Similar to prior usable year; similarity=0.973. Clean text length: 8590. URL score: 58. Page type: about_company_page. Themes: innovation, customer_focus, employees_culture, sustainability_environment, community_social_impact, financial_performance_growth.",DEF 14A proxy statement,SEC EDGAR,2023-10-19,0001193125-23-259247,https://www.sec.gov/Archives/edgar/data/789019/000119312523259247/d356108ddef14a.htm,344004,True,innovation;customer_focus;employees_culture;diversity_inclusion;sustainability_environment;community_social_impact;integrity_ethics_trust;health_safety_wellbeing;financial_performance_growth,"{""innovation"": 247, ""customer_focus"": 124, ""employees_culture"": 232, ""diversity_inclusion"": 137, ""sustainability_environment"": 142, ""community_social_impact"": 32, ""integrity_ethics_trust"": 314, ""health_safety_wellbeing"": 47, ""financial_performance_growth"": 1033}","{""innovation"": 7.1801, ""customer_focus"": 3.6046, ""employees_culture"": 6.7441, ""diversity_inclusion"": 3.9825, ""sustainability_environment"": 4.1279, ""community_social_impact"": 0.9302, ""integrity_ethics_trust"": 9.1278, ""health_safety_wellbeing"": 1.3663, ""financial_performance_growth"": 30.0287}",286,182,0.2222,"downloaded on attempt 1. Clean text length: 344004. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth.",True,0.6667,0.3516,0.6111,0.5166,moderate_alignment,same_themes_different_emphasis,theme_emphasis_gap,0.48340000000000005
MSFT,Microsoft,Technology,2024,https://news.microsoft.com/facts-about-microsoft/,20240704064501.0,https://news.microsoft.com/facts-about-microsoft/,9022,True,innovation;customer_focus;employees_culture;sustainability_environment;community_social_impact;financial_performance_growth,"{""innovation"": 18, ""customer_focus"": 5, ""employees_culture"": 3, ""diversity_inclusion"": 0, ""sustainability_environment"": 2, ""community_social_impact"": 1, ""integrity_ethics_trust"": 0, ""health_safety_wellbeing"": 0, ""financial_performance_growth"": 1}",False,0.9402679990915284,exact_seed_or_backup_slash,about_company_page,58.0,False,7,0,1.0,"Selected usable candidate. Tried 1 candidate(s). downloaded Similar to prior usable year; similarity=0.940. Clean text length: 9022. URL score: 58. Page type: about_company_page. Themes: innovation, customer_focus, employees_culture, sustainability_environment, community_social_impact, financial_performance_growth.",DEF 14A proxy statement,SEC EDGAR,2024-10-24,0001193125-24-242883,https://www.sec.gov/Archives/edgar/data/789019/000119312524242883/d858775ddef14a.htm,346024,True,innovation;customer_focus;employees_culture;diversity_inclusion;sustainability_environment;community_social_impact;integrity_ethics_trust;health_safety_wellbeing;financial_performance_growth,"{""innovation"": 410, ""customer_focus"": 161, ""employees_culture"": 177, ""diversity_inclusion"": 119, ""sustainability_environment"": 138, ""community_social_impact"": 18, ""integrity_ethics_trust"": 323, ""health_safety_wellbeing"": 46, ""financial_performance_growth"": 1081}","{""innovation"": 11.8489, ""customer_focus"": 4.6529, ""employees_culture"": 5.1153, ""diversity_inclusion"": 3.4391, ""sustainability_environment"": 3.9882, ""community_social_impact"": 0.5202, ""integrity_ethics_trust"": 9.3346, ""health_safety_wellbeing"": 1.3294, ""financial_performance_growth"": 31.2406}",262,162,0.2358,"downloaded on attempt 1. Clean text length: 346024. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth.",True,0.6667,0.4271,0.6179,0.5515,moderate_alignment,same_themes_different_emphasis,theme_emphasis_gap,0.4485
AAPL,Apple,Technology,2016,https://www.apple.com/diversity/,20160706171052.0,http://www.apple.com/diversity/,5654,True,innovation;customer_focus;employees_culture;diversity_inclusion;community_social_impact,"{""innovation"": 11, ""customer_focus"": 3, ""employees_culture"": 16, ""diversity_inclusion"": 13, ""sustainability_environment"": 0, ""community_social_impact"": 2, ""integrity_ethics_trust"": 0, ""health_safety_wellbeing"": 0, ""financial_performance_growth"": 0}",,,exact_seed_or_backup,values_subpage,20.0,True,22,2,0.8333,"Selected usable candidate. Tried 1 candidate(s). downloaded No reliable prior-year comparison. Clean text length: 5654. URL score: 20. Page type: values_subpage. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, community_social_impact.",DEF 14A proxy statement,SEC EDGAR,2016-01-06,0001193125-16-422528,https://www.sec.gov/Archives/edgar/data/320193/000119312516422528/d79474ddef14a.htm,293179,True,innovation;customer_focus;employees_culture;diversity_inclusion;sustainability_environment;community_social_impact;integrity_ethics_trust;health_safety_wellbeing;financial_performance_growth,"{""innovation"": 61, ""customer_focus"": 61, ""employees_culture"": 121, ""diversity_inclusion"": 109, ""sustainability_environment"": 68, ""community_social_impact"": 8, ""integrity_ethics_trust"": 90, ""health_safety_wellbeing"": 8, ""financial_performance_growth"": 799}","{""innovation"": 2.0806, ""customer_focus"": 2.0806, ""employees_culture"": 4.1272, ""diversity_inclusion"": 3.7179, ""sustainability_environment"": 2.3194, ""community_social_impact"": 0.2729, ""integrity_ethics_trust"": 3.0698, ""health_safety_wellbeing"": 0.2729, ""financial_performance_growth"": 27.253}",70,60,0.0769,"downloaded on attempt 1. Clean text length: 293179. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth.",True,0.5556,0.2158,0.6218,0.4126,low_alignment,broad_misalignment,theme_emphasis_gap,0.5873999999999999
