ticker,company_name,sector,year,gap_type,component_gap_driver,authenticity_index,theme_overlap_jaccard,theme_emphasis_cosine,tone_alignment,stated_theme_categories,lived_theme_categories
LLY,Eli Lilly,Healthcare,2018,broad_misalignment,theme_emphasis_gap,0.1645,0.1111,0.046,0.6622,health_safety_wellbeing,innovation;customer_focus;employees_culture;diversity_inclusion;sustainability_environment;community_social_impact;integrity_ethics_trust;health_safety_wellbeing;financial_performance_growth
SBUX,Starbucks,Consumer Discretionary,2019,broad_misalignment,theme_emphasis_gap,0.2844,0.3333,0.114,0.6653,customer_focus;community_social_impact;health_safety_wellbeing,innovation;customer_focus;employees_culture;diversity_inclusion;sustainability_environment;community_social_impact;integrity_ethics_trust;health_safety_wellbeing;financial_performance_growth
CRM,Salesforce,Technology,2022,broad_misalignment,theme_emphasis_gap,0.2849,0.3333,0.1093,0.6826,innovation;customer_focus;sustainability_environment,innovation;customer_focus;employees_culture;diversity_inclusion;sustainability_environment;community_social_impact;integrity_ethics_trust;health_safety_wellbeing;financial_performance_growth
SBUX,Starbucks,Consumer Discretionary,2017,broad_misalignment,theme_emphasis_gap,0.3328,0.4444,0.1802,0.4926,customer_focus;community_social_impact;integrity_ethics_trust;health_safety_wellbeing,innovation;customer_focus;employees_culture;diversity_inclusion;sustainability_environment;community_social_impact;integrity_ethics_trust;health_safety_wellbeing;financial_performance_growth
C,Citigroup,Financials,2019,broad_misalignment,theme_emphasis_gap,0.3439,0.3333,0.2552,0.6383,innovation;sustainability_environment;financial_performance_growth,innovation;customer_focus;employees_culture;diversity_inclusion;sustainability_environment;community_social_impact;integrity_ethics_trust;health_safety_wellbeing;financial_performance_growth
BRK.B,Berkshire Hathaway,Financials,2018,different_themes_similar_tone,theme_overlap_gap,0.2656,0.0,,0.9737,,innovation;customer_focus;employees_culture;diversity_inclusion;sustainability_environment;community_social_impact;integrity_ethics_trust;health_safety_wellbeing;financial_performance_growth
BRK.B,Berkshire Hathaway,Financials,2019,different_themes_similar_tone,theme_overlap_gap,0.1432,0.0,0.0,0.9546,sustainability_environment,innovation;customer_focus;employees_culture;diversity_inclusion;community_social_impact;integrity_ethics_trust;health_safety_wellbeing;financial_performance_growth
NVDA,NVIDIA,Technology,2019,different_themes_similar_tone,theme_overlap_gap,0.2507,0.0,,0.9191,,innovation;customer_focus;employees_culture;diversity_inclusion;sustainability_environment;community_social_impact;integrity_ethics_trust;health_safety_wellbeing;financial_performance_growth
BRK.B,Berkshire Hathaway,Financials,2017,different_themes_similar_tone,theme_overlap_gap,0.25,0.0,,0.9166,,innovation;customer_focus;employees_culture;diversity_inclusion;sustainability_environment;community_social_impact;integrity_ethics_trust;health_safety_wellbeing;financial_performance_growth
NVDA,NVIDIA,Technology,2020,different_themes_similar_tone,theme_overlap_gap,0.2355,0.0,,0.8637,,innovation;customer_focus;employees_culture;diversity_inclusion;sustainability_environment;community_social_impact;integrity_ethics_trust;health_safety_wellbeing;financial_performance_growth
